ID,history,reopenings,comments,score1,score2
CLOUDSTACK-10129,"Date: 2017-11-02T23:52:19.638-07:00, From: Open To: In ProgressDate: 2017-11-02T23:52:23.445-07:00, From: In Progress To: ReviewableDate: 2017-12-17T12:04:20.082-08:00, From: Reviewable To: ResolvedDate: 2017-12-17T12:04:32.803-08:00, From: Resolved To: Closed",0,45,2,-2
CLOUDSTACK-10128,"Date: 2018-01-08T01:56:12.713-08:00, From: Open To: In ProgressDate: 2018-01-08T01:56:16.111-08:00, From: In Progress To: ReviewableDate: 2018-01-08T01:56:32.430-08:00, From: Reviewable To: Resolved",0,22,2,-2
CLOUDSTACK-10127,"Date: 2017-12-22T19:49:52.470-08:00, From: Open To: Resolved",0,83,2,-3
CLOUDSTACK-10126,"Date: 2018-03-19T17:46:49.407-07:00, From: Open To: Resolved",0,97,2,-3
CLOUDSTACK-10125,,0,0,1,-1
CLOUDSTACK-10124,,0,0,1,-1
CLOUDSTACK-10123,,0,12,1,-2
CLOUDSTACK-10122,"Date: 2017-12-22T20:25:52.343-08:00, From: Open To: Resolved",0,19,2,-3
CLOUDSTACK-10121,"Date: 2017-12-21T07:27:42.408-08:00, From: Open To: Resolved",0,129,2,-3
CLOUDSTACK-10120,,0,11,3,-2
CLOUDSTACK-10119,,0,0,1,-1
CLOUDSTACK-10118,"Date: 2017-12-20T00:07:09.553-08:00, From: Open To: In ProgressDate: 2017-12-20T00:07:47.445-08:00, From: In Progress To: Resolved",0,12,2,-2
CLOUDSTACK-10117,,0,121,3,-2
CLOUDSTACK-10116,,0,0,1,-1
CLOUDSTACK-10115,,0,0,1,-1
CLOUDSTACK-10114,,0,0,1,-1
CLOUDSTACK-10113,"Date: 2017-10-26T01:10:04.392-07:00, From: Open To: Resolved",0,5,1,-1
CLOUDSTACK-10112,,0,3,1,-1
CLOUDSTACK-10111,"Date: 2017-10-16T06:25:26.403-07:00, From: Open To: In ProgressDate: 2017-10-16T06:25:29.935-07:00, From: In Progress To: ReviewableDate: 2017-11-03T09:18:42.495-07:00, From: Reviewable To: Resolved",0,5,3,-2
CLOUDSTACK-10110,,0,0,1,-1
CLOUDSTACK-10109,"Date: 2018-03-19T17:50:25.138-07:00, From: Open To: Resolved",0,66,3,-3
CLOUDSTACK-10108,,0,46,2,-2
CLOUDSTACK-10107,"Date: 2017-10-10T05:00:54.923-07:00, From: Open To: In ProgressDate: 2017-10-10T05:00:58.886-07:00, From: In Progress To: ReviewableDate: 2017-12-17T12:07:08.589-08:00, From: Reviewable To: Resolved",0,2,1,-2
CLOUDSTACK-10106,,0,28,2,-2
CLOUDSTACK-10105,,0,52,3,-2
CLOUDSTACK-10104,,0,26,2,-2
CLOUDSTACK-10103,"Date: 2017-10-03T00:13:53.347-07:00, From: Open To: In ProgressDate: 2017-12-17T12:06:16.416-08:00, From: In Progress To: ReviewableDate: 2017-12-17T12:06:25.694-08:00, From: Reviewable To: Resolved",0,6,3,-2
CLOUDSTACK-10102,"Date: 2017-12-22T20:25:28.390-08:00, From: Open To: Resolved",0,48,2,-2
